timestamp,pm25,pm10,co,so2,no2,o3,temperature,humidity,pressure,wind_speed,clouds,aqi,day,month,day_of_week,doy_sin,doy_cos,aqi_lag_1d,aqi_lag_2d,aqi_lag_3d,aqi_lag_7d,pm25_lag_1d,pm25_lag_2d,pm25_lag_3d,pm25_lag_7d,aqi_rolling_mean_3d,aqi_rolling_mean_7d,aqi_rolling_mean_14d,pm25_rolling_mean_3d,pm25_rolling_mean_7d,pm25_rolling_mean_14d,wind_speed_roll_3d,temperature_roll_3d,humidity_roll_3d,pressure_roll_3d,wind_speed_roll_7d,temperature_roll_7d,humidity_roll_7d,aqi_change_rate,target_aqi_day1,target_aqi_day2,target_aqi_day3
2024-06-20,48.16666666666666,141.2125,532.7083333333334,10.129166666666666,27.17083333333333,98.875,31.866666666666664,53.29166666666666,972.4541666666668,8.708333333333334,82.5,132.0,20,6,3,0.1817597875913753,-0.9833429613388902,112.0,88.0,85.0,93.0,40.07083333333333,29.883333333333336,28.370833333333334,31.916666666666668,110.66666666666669,96.28571428571428,93.71428571428572,39.37361111111116,33.12440476190476,31.911309523809525,9.683333333333335,34.72222222222221,41.56944444444444,971.2208333333332,10.415476190476191,35.7047619047619,35.017857142857146,20.0,145.0,134.0,129.0
2024-06-21,53.30833333333333,112.40416666666664,550.625,11.445833333333333,26.641666666666666,120.41666666666669,30.90833333333333,59.66666666666666,974.8958333333334,7.991666666666667,51.79166666666666,145.0,21,6,4,0.1648178466571979,-0.9863240225317866,132.0,112.0,88.0,95.0,48.16666666666666,40.07083333333333,29.883333333333336,32.958333333333336,129.66666666666666,103.42857142857144,95.21428571428572,47.18194444444449,36.03154761904762,32.52708333333333,8.358333333333334,32.845833333333324,49.84722222222222,972.4319444444444,10.164880952380951,35.0797619047619,39.470238095238095,13.0,134.0,129.0,141.0
2024-06-22,48.85833333333333,87.4375,600.25,10.2,26.8875,123.04166666666669,31.96666666666667,47.875,974.4083333333332,5.179166666666666,25.166666666666668,134.0,22,6,5,0.1478271334705304,-0.9890132145779884,145.0,132.0,112.0,84.0,53.30833333333333,48.16666666666666,40.07083333333333,27.7,137.0,110.57142857142856,97.07142857142856,50.11111111111115,39.05416666666667,33.289880952380955,7.293055555555555,31.580555555555545,53.61111111111111,973.9194444444444,9.36845238095238,34.50892857142857,41.83928571428572,-11.0,129.0,141.0,159.0
2024-06-23,46.95416666666667,88.92916666666667,551.625,10.1875,23.3,122.66666666666669,34.2,37.91666666666666,974.4291666666668,6.658333333333334,4.208333333333333,129.0,23,6,6,0.1307926758567592,-0.9914097417023038,134.0,145.0,132.0,78.0,48.85833333333333,53.30833333333333,48.16666666666666,24.72083333333333,136.0,117.85714285714286,100.78571428571428,49.706944444444495,42.23035714285714,34.88392857142857,6.609722222222222,32.35833333333332,48.48611111111111,974.5777777777776,8.612499999999999,34.10059523809524,42.86309523809524,-5.0,141.0,159.0,159.0
2024-06-24,51.5625,89.55416666666667,660.6666666666666,12.195833333333333,29.02083333333333,134.75,34.74583333333333,34.958333333333336,972.6791666666668,6.716666666666666,2.1666666666666665,141.0,24,6,0,0.1137195145859496,-0.9935128947338008,129.0,134.0,145.0,85.0,46.95416666666667,48.85833333333333,53.30833333333333,28.370833333333334,134.66666666666666,125.85714285714286,105.64285714285714,49.12500000000005,45.54345238095238,36.96577380952381,6.184722222222223,33.63749999999999,40.25,973.8388888888888,7.942261904761905,33.7125,43.58928571428572,12.0,159.0,159.0,151.0
2024-06-25,70.2,176.02916666666667,724.2916666666666,12.729166666666666,33.516666666666666,122.29166666666669,34.74583333333333,42.833333333333336,971.8791666666666,7.1875,2.5,159.0,25,6,1,0.0966127018812031,-0.9953220513156602,141.0,129.0,134.0,88.0,51.5625,46.95416666666667,48.85833333333333,29.883333333333336,143.0,136.0,111.35714285714286,56.23888888888894,51.302976190476194,40.158928571428575,6.854166666666667,34.56388888888888,38.56944444444444,972.9958333333334,7.259523809523809,33.45654761904762,44.73214285714285,18.0,159.0,151.0,114.0
2024-06-26,70.32916666666667,145.5,595.5416666666666,13.45,20.54583333333333,140.95833333333334,36.1875,45.875,972.7416666666668,9.679166666666664,18.541666666666668,159.0,26,6,2,0.0794772999236209,-0.9968366760893436,159.0,141.0,129.0,112.0,70.2,51.5625,46.95416666666667,40.07083333333333,153.0,142.71428571428572,116.71428571428572,64.03055555555561,55.62559523809524,43.21428571428572,7.86111111111111,35.22638888888887,41.22222222222222,972.4333333333332,7.445833333333333,33.5172619047619,46.0595238095238,0.0,151.0,114.0,138.0
2024-06-27,55.72916666666666,130.09583333333333,451.5,10.441666666666666,13.070833333333333,136.16666666666666,32.46666666666667,61.958333333333336,975.6916666666666,12.9625,20.291666666666668,151.0,27,6,3,0.062318379354325,-0.998056320853012,159.0,159.0,141.0,132.0,70.32916666666667,70.2,51.5625,48.16666666666666,156.33333333333334,145.42857142857142,120.85714285714286,65.4194444444445,56.70595238095238,44.91517857142857,9.943055555555556,34.46666666666665,50.22222222222222,973.4375,8.053571428571429,33.60297619047619,47.29761904761905,-8.0,114.0,138.0,155.0
2024-06-28,40.770833333333336,73.8,470.4583333333333,8.933333333333334,16.333333333333332,130.83333333333334,33.895833333333336,54.5,973.725,8.675,7.375,114.0,28,6,4,0.0451410177739719,-0.998980624694158,151.0,159.0,159.0,145.0,55.72916666666666,70.32916666666667,70.2,53.30833333333333,141.33333333333334,141.0,122.21428571428572,55.609722222222274,54.91488095238095,45.473214285714285,10.438888888888888,34.18333333333332,54.11111111111111,974.0527777777778,8.151190476190477,34.029761904761905,46.55952380952381,-37.0,138.0,155.0,129.0
2024-06-29,50.645833333333336,88.75,451.0833333333333,9.075,16.079166666666666,123.625,34.233333333333334,54.458333333333336,972.6958333333332,6.9,10.25,138.0,29,6,5,0.0279502982402103,-0.999609314096404,114.0,151.0,159.0,134.0,40.770833333333336,55.72916666666666,70.32916666666667,48.85833333333333,134.33333333333334,141.57142857142858,126.07142857142856,49.04861111111117,55.170238095238105,47.11220238095239,9.5125,33.531944444444434,56.97222222222222,974.0375,8.39702380952381,34.35357142857143,47.5,24.0,155.0,129.0,125.0
